ID(どのシーンなのか、プロローグなのかエピローグなのか判断するID),ストーリー
0,300年前、平和だった人間の世界に突如現れた悪魔。その強大な力と冷酷な支配により、人間たちは瞬く間に支配されることとなった。
0,勇敢な勇者たちが幾度となく立ち上がり、魔王に挑んだが、彼らはことごとく敗北し、屍となって倒れていった。
0,時が経ち、悪魔の支配が恒常化した世界。名もない小さな村で、日々を慎ましく生きる人々がいた。
0,しかし、搾取と恐怖に苛まれる現状に嫌気が差し、村人たちは心の奥底で密かに平和を取り戻したいと願っていた。
0,この村には、一人の若者がいた。
0,ごく普通の村人で、特別な力を持たないただの若者だった。しかし、村長との運命的な出会いが若者の人生を一変させることとなる。
0,村長は、かつて勇者と共に旅をした仲間だった。
0,勇者たちが魔王に挑み、悲壮な結末を迎えた後、村長だけが生き延びてこの村に戻ってきたのだ。村長は若者に語った。
0,「希望が絶えない限り、悪魔に立ち向かう力は必ず存在する。勇者は再び現れるだろう。」
0,村長の言葉に心を揺さぶられた若者は、決意を固める。
0,村人たちの希望を背負い、魔王を倒し、世界に平和をもたらすために旅立つことを決意する。
0,そして旅たちの日...
1,魔王が倒れた瞬間、世界は再び光に包まれた。長きにわたる戦いが終わり、人々の心に希望の光が戻ってきた。
1,若者は世界の英雄として称えられ、新たな時代を築く決意を胸に抱いた。
1,幾年かが過ぎ、若者は新たな王国「光の王国」を築き、その王として君臨した。
1,王国は知恵と勇気に満ちた治世のもと、豊かさと平和を享受した。
1,「この国は、決して悪に屈しない。平和を守るため、我々は共に立ち上がる。」
1,王の言葉は国中に響き渡り、人々に希望と勇気を与え続けた。
1,王国は他の国々からも尊敬と信頼を集める存在となり、多くの冒険者や英雄がその名を広めるために旅立っていった。
1,こうして、光の王国は新たな時代を迎えた。その歴史は、未来の世代へと語り継がれ、勇者たちの伝説は永遠に続いていくのであった。
1,そして悪魔の呪いは晴れたのであった...
